ipf,Canonical Name,Email Field
10053556,Albert Einstein College of Medicine,aecom.yu.edu|einsteinmed.edu
8455007,Albany Medical College,amc.edu
490201,University of Arizona,arizona.edu
488301,Arizona State University-Tempe,asu.edu
578403,University of Texas at Austin,austin.utexas.edu
872101,Boston College,bc.edu
481201,Baylor College of Medicine,bcm.edu|bmc.tmc.edu
8961401,Benaroya Research Institute,benaroyaresearch.org
577502,"University of California, Berkeley",berkeley.edu
758101,Beth Israel Deaconess Medical Center,bidmc.harvard.edu
3617301,Boston Medical Center,bmc.org | bu.edu
10021177,Broad Institute,broadinstitute.org
1003201,Brown University,brown.edu
6959701,Rhode Island Hospital,brown.edu
894901,Boston University,bu.edu | bmc.org
5992614,State University of New York at Buffalo,buffalo.edu
1080401,Brigham and Women's Hospital,bwh.harvard.edu
1073501,California Institute of Technology,caltech.edu
10000858,Cleveland Clinic,ccf.org
615001,Cincinnati Childrenâ€™S Hospital Medical Center,cchmc.org
1504801,Boston Children's Hospital,childriens.harvard.edu|chboston.org
1499101,Children's Hosp of Philadelphia,chop.edu|pennmedicine.upenn.edu|med.upenn.edu
1626401,Clemson University,clemson.edu
3058203,Beckman Research Institute,coh.org
1199902,University of Colorado Boulder,colorado.edu
1725201,Colorado State University,colostat.edu
1833205,Columbia University,columbia.edu|cumc.columbia.edu
1514802,Cornell University,cornell.edu
1943701,Creighton University,creighton.edu
4577101,Cold Spring Harbor Laboratory,cshl.edu
1225501,Cedars-Sinai Medical Center,cshs.org|csmc.edu
218601,Case Western Reserve University,cwru.edu|case.edu
2021601,Dartmouth College,dartmouth.edu
1464901,Dana-Farber Cancer Institute,dfci.harvard.edu
2205901,Drexel University,drexel.edu|drexelmed.edu
2221101,Duke University,duke.edu
578209,East Carolina University,ecu.edu
2384501,Emory University,emory.edu
1190002,Fox Chase Cancer Center,fccc.edu
513809,Florida International University,fiu.edu
861001,Fred Hutchinson Cancer Research Center,fredhutch.org|fhcrc.org
513804,Florida State University,fsu.edu
676603,Georgia Institute of Technology,gatech.edu
2869001,Georgetown University,georgetown.edu
1567601,Gladstone Institutes,gladstone.ucsf.edu
676604,Georgia State University,gsu.edu
2863301,George Washington University,gwu.edu
5966012,Wadsworth Center,health.ny.gov
1524204,Pennsylvania State University Hershey Medical Center,hmc.psu.edu|pennstatehealth.psu.edu|psu.edu
3117901,Hackensack University Medical Center,hmh-cdi.org
3212902,Harvard University,hms.harvard.edu
10005742,Methodist Hospital Research Institute,houstonmethodist.org
4081105,Hospital for Special Surgery,hss.edu
3974801,Iowa State University,iastate.edu
577805,Indiana University Bloomington,iu.edu
577806,Indiana University Indianapolis,iu.edu|indiana.edu
7096501,Jackson Laboratory,jax.org
4050801,Thomas Jefferson University,jefferson.edu
4134401,Johns Hopkins University,jhmi.edu|jhu.edu
3497005,Kaiser Foundation Research Institute,kp.org
4202801,Kansas State University,ksu.edu|k-state.edu
1484302,University of Kansas Lawrence,ku.edu
1484303,University of Kansas Medical Center,kumc.edu
2465301,La Jolla Institute for Immunology,lji.org
577907,Louisiana State University Baton Rouge,lsu.edu
4689203,Loyola University Chicago,luc.edu
2543101,Harbor-UCLA Medical Center,lundquist.org
1525701,Lurie Children's Hospital,luriechildrens.org
4976104,Mayo Clinic Arizona,mayo.edu
4976101,Mayo Clinic Rochester,mayo.edu
46001,Medical College of Wisconsin,mcw.edu
578407,Md Anderson Cancer Center,mdanderson.org
1514803,Weill Cornell Medicine,med.cornell.edu
5221250,University of Miami School of Medicine,med.miami.edu
4907701,Massachusetts General Hospital,mgh.harvard.edu
578002,University of Missouri-Columbia,missouri.edu
4911501,Massachusetts Institute of Technology,mit.edu
1381004,Montana State University Bozeman,montana.edu
5079202,Memorial Sloan-Kettering,mskcc.org
3839801,Icahn School of Medicine at Mount Sinai,mssm.edu|mountsinai.org
5245901,Michigan State University,msu.edu
7575301,Medical University of South Carolina,musc.edu
1495302,Nationwide Children's Hospital,nationwidechildrens.org
578204,North Carolina State University Raleigh,ncsu.edu
6169301,University of Notre Dame,nd.edu
6116101,Northeastern University,neu.edu|northeastern.edu
5720901,National Jewish Health,njhealth.org
10034169,Rutgers New Jersey Medical School,njms.rutgers.edu|rutgers.edu
4155008,Feinstein Institute for Medical Research,northwell.edu
6144650,Northwestern University,northwestern.edu
1782801,New York Blood Center,nybloodcenter.org
5998304,New York University School of Medicine,nyulangone.org|med.nyu.edu|nyumc.org
6297007,Oregon Health & Science University,ohsu.edu
1450502,Oklahoma State University Stillwater,okstate.edu
6239601,Oklahoma Medical Research Foundation,omrf.org
6218701,Ohio State University,osu.edu|osumc.edu
1524002,University of Oklahoma,ou.edu
1524003,University of Oklahoma Health Sciences Center,ouhsc.edu
2059802,University of Pittsburgh,pitt.edu|chp.edu|upmc.edu
6661401,Princeton University,princeton.edu
1524202,Pennsylvania State University,psu.edu
1481402,Purdue University,purdue.edu
9291001,Rice University,rice.edu
7047101,University of Rochester,rochester.edu
7056601,Rockefeller University,rockefeller.edu
6939101,Research Triangle Institute,rti.org
6644301,Rush University Medical Center,rush.edu
1196203,Rutgers,rutgers.edu
10034168,Rutgers Biomedical and Health Sciences,rutgers.edu|njms.rutgers.edu
7210001,Salk Institute for Biological Studies,salk.edu
10021612,University of New Mexico Health Sciences Center,salud.unm.edu
1180101,Sanford Burnham Medical Research Institute,sbpdiscovery.edu|sanfordburnham.org|burnham.org
7375802,Scripps Research Institute,scripps.edu
1531401,Seattle Children's Hospital,seattlechildrens.org
7915401,Saint Louis University,slu.edu
820104,"University of Maryland, Baltimore",som.umaryland.edu
8046501,Stanford University,stanford.edu
7893501,St. Jude Children's Research Hospital,stjude.org
5992612,State University New York Stony Brook,stonybrook.edu|sunysb.edu|stonybrookmedicine.edu
8266920,Texas a&M,tamu.edu
8240301,Temple University,temple.edu
8422704,Tufts University,tufts.edu
8424601,Tulane University,tulane.edu
7660801,Texas Biomedical Research Institute,txbiomed.org
1288803,University of Alabama Birmingham,uab.edu|uabmc.edu
491702,Arkansas Children's Hospital Research Institute,uams.edu
1471106,University of Arkansas for Medical Sciences,uams.edu
1523902,University of Cincinnati,uc.edu
577503,"University of California, Davis",ucdavis.edu
1199905,University of Colorado Denver,ucdenver.edu|cuanschutz.edu
1506603,University of Connecticut School of Medicine,uchc.edu
1413601,University of Chicago,uchicago.edu
577504,"University of California, Irvine",uci.edu
577505,University of California Los Angeles,ucla.edu
10002981,University of California Merced,ucmerced.edu
577506,"University of California, Riverside",ucr.edu
577510,"University of California, Santa Cruz",ucsc.edu
577507,University of California San Diego,ucsd.edu
577508,"University of California, San Francisco",ucsf.edu
513806,University of Florida,ufl.edu
676602,University of Georgia,uga.edu
577703,University of Illinois Chicago,uic.edu
3972901,University of Iowa,uiowa.edu
577704,University of Illinois Urbana-Champaign,uiuc.edu|illinois.edu
2793601,University of Kentucky,uky.edu
850904,University of Massachusetts Amherst,umass.edu
850903,University of Massachusetts Chan Medical School,umassmed.edu
850903,University of Massachusetts Chan Medical School,umassmed.edu
820102,"University of Maryland, College Park",umd.edu
1506502,University of Michigan at Ann Arbor,umich.edu
1450402,University of Minnesota,umn.edu
1381006,University of Montana,umt.edu|montana.edu
578206,University of North Carolina Chapel Hill,unc.edu
6093301,University of North Dakota,und.edu
578104,University of Nebraska Medical Center,unmc.edu
829903,University of Nevada Reno,unr.edu
6463801,University of Pennsylvania,upenn.edu
5992619,Upstate Medical University,upstate.edu
7636101,University of Southern California,usc.edu
1524302,University of South Carolina,uscmed.sc.edu | sc.edu
513807,University of South Florida,usf.edu
514002,University of Utah,utah.edu
578417,University of Texas Health Science Center Houston,uth.tmc.edu
578302,University of Tennessee Health Science Center,uthsc.edu
578418,University of Texas Health Science Center,uthscsa.edu
578406,University of Texas Medical Galveston,utmb.edu
229501,University of Toledo Health Science Campus,utoledo.edu
578416,University of Texas San Antonio,utsa.edu
578404,UT Southwestern Medical Center,utsouthwestern.edu
8738101,University of Vermont,uvm.edu
8721001,Vanderbilt University,vanderbilt.edu
353201,Virginia Commonwealth University,vcu.edu|vcuhealth.org
1526402,University of Virginia,virginia.edu
8968001,Virginia Polytechnic Institute,vt.edu
10040927,Vanderbilt University Medical Center,vumc.org | vanderbilt.edu
9087701,University of Washington,washington.edu
9110501,Wayne State University,wayne.edu
9021205,Wake Forest University Health Sciences,wfusm.edu|wakehealth.edu
578503,University of Wisconsin-Madison,wisc.edu
9340401,Wistar Institute,wistar.org
9082001,Washington State University,wsu.edu
9083901,Washington University,wustl.edu
9163701,West Virginia University,wvu.edu
9420201,Yale University,yale.edu
