rule_type	expected_canonical_id	expected_canonical_name	competitor_canonical_id	competitor_canonical_name	support_count	reverse_count	risk	recommendation	example_test_ids
pair_precedence	us-tn-vanderbilt-university-medical-center	Vanderbilt University Medical Center	us-tn-vanderbilt-university	Vanderbilt University	30	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0070|T0081|T0138|T0160|T0161|T0183|T0184|T0201
pair_precedence	us-ma-broad-institute	Broad Institute	us-ma-massachusetts-institute-of-technology	Massachusetts Institute of Technology	13	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0072|T0113|T0120|T0236|T0281|T0297|T0324|T0325
pair_precedence	us-co-university-of-colorado-anschutz-medical-campus	University of Colorado Anschutz Medical Campus	us-co-university-of-colorado-boulder	University of Colorado Boulder	12	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0066|T0149|T0150|T0288|T0294|T0322|T0327|T0337
context_required	us-ma-brigham-and-women-s-hospital	Brigham and Women's Hospital	us-ma-harvard-university	Harvard University	8	6	high	Do not add global precedence; choose by contextual phrase/order.	T0079|T0093|T0103|T0104|T0199|T0280|T0332|T0334
pair_precedence	us-ma-harvard-university	Harvard University	us-ma-boston-children-s-hospital	Boston Children's Hospital	6	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0112|T0119|T0139|T0289|T0309|T0329
context_required	us-ma-harvard-university	Harvard University	us-ma-brigham-and-women-s-hospital	Brigham and Women's Hospital	6	8	high	Do not add global precedence; choose by contextual phrase/order.	T0182|T0202|T0296|T0298|T0310|T0311
pair_precedence	us-ma-harvard-university	Harvard University	us-ma-beth-israel-deaconess-medical-center	Beth Israel Deaconess Medical Center	5	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0200|T0292|T0314|T0320|T0340
pair_precedence	us-sc-medical-university-of-south-carolina	Medical University of South Carolina	us-sc-university-of-south-carolina	University of South Carolina	5	0	low	Safe candidate for deterministic precedence in ambiguity tie-break.	T0264|T0336|T0343|T0362|T0363
pair_precedence	us-dc-george-washington-university	George Washington University	us-mo-washington-university	Washington University	4	0	medium	Likely useful but review examples before enabling globally.	T0291|T0326|T0333|T0356
context_required	us-ma-massachusetts-general-hospital	Massachusetts General Hospital	us-ma-harvard-university	Harvard University	3	1	high	Do not add global precedence; choose by contextual phrase/order.	T0087|T0137|T0319
pair_precedence	us-co-university-of-colorado-anschutz-medical-campus	University of Colorado Anschutz Medical Campus	us-co-university-of-colorado-denver	University of Colorado Denver	2	0	medium	Likely useful but review examples before enabling globally.	T0150|T0337
pair_precedence	us-tx-university-of-texas-health-science-center-houston	University of Texas Health Science Center Houston	us-tx-university-of-texas-health-science-center	University of Texas Health Science Center	2	0	medium	Likely useful but review examples before enabling globally.	T0263|T0358
pair_precedence	us-nj-rutgers-new-jersey-medical-school	Rutgers New Jersey Medical School	us-nj-rutgers	Rutgers	2	0	medium	Likely useful but review examples before enabling globally.	T0304|T0317
pair_precedence	us-ma-broad-institute	Broad Institute	us-ma-harvard-university	Harvard University	1	0	medium	Single-example signal; keep for manual review.	T0281
context_required	us-ma-harvard-university	Harvard University	us-ma-massachusetts-general-hospital	Massachusetts General Hospital	1	3	high	Do not add global precedence; choose by contextual phrase/order.	T0285
pair_precedence	us-ma-harvard-university	Harvard University	us-ma-dana-farber-cancer-institute	Dana-Farber Cancer Institute	1	0	medium	Single-example signal; keep for manual review.	T0338
